	sample	condition	barcode
samp:dna_1__barc:1	1	dna	1
samp:dna_1__barc:10	1	dna	10
samp:dna_1__barc:100	1	dna	100
samp:dna_1__barc:11	1	dna	11
samp:dna_1__barc:12	1	dna	12
samp:dna_1__barc:13	1	dna	13
samp:dna_1__barc:14	1	dna	14
samp:dna_1__barc:15	1	dna	15
samp:dna_1__barc:16	1	dna	16
samp:dna_1__barc:17	1	dna	17
samp:dna_1__barc:18	1	dna	18
samp:dna_1__barc:19	1	dna	19
samp:dna_1__barc:2	1	dna	2
samp:dna_1__barc:20	1	dna	20
samp:dna_1__barc:21	1	dna	21
samp:dna_1__barc:22	1	dna	22
samp:dna_1__barc:23	1	dna	23
samp:dna_1__barc:24	1	dna	24
samp:dna_1__barc:25	1	dna	25
samp:dna_1__barc:26	1	dna	26
samp:dna_1__barc:27	1	dna	27
samp:dna_1__barc:28	1	dna	28
samp:dna_1__barc:29	1	dna	29
samp:dna_1__barc:3	1	dna	3
samp:dna_1__barc:30	1	dna	30
samp:dna_1__barc:31	1	dna	31
samp:dna_1__barc:32	1	dna	32
samp:dna_1__barc:33	1	dna	33
samp:dna_1__barc:34	1	dna	34
samp:dna_1__barc:35	1	dna	35
samp:dna_1__barc:36	1	dna	36
samp:dna_1__barc:37	1	dna	37
samp:dna_1__barc:38	1	dna	38
samp:dna_1__barc:39	1	dna	39
samp:dna_1__barc:4	1	dna	4
samp:dna_1__barc:40	1	dna	40
samp:dna_1__barc:41	1	dna	41
samp:dna_1__barc:42	1	dna	42
samp:dna_1__barc:43	1	dna	43
samp:dna_1__barc:44	1	dna	44
samp:dna_1__barc:45	1	dna	45
samp:dna_1__barc:46	1	dna	46
samp:dna_1__barc:47	1	dna	47
samp:dna_1__barc:48	1	dna	48
samp:dna_1__barc:49	1	dna	49
samp:dna_1__barc:5	1	dna	5
samp:dna_1__barc:50	1	dna	50
samp:dna_1__barc:51	1	dna	51
samp:dna_1__barc:52	1	dna	52
samp:dna_1__barc:53	1	dna	53
samp:dna_1__barc:54	1	dna	54
samp:dna_1__barc:55	1	dna	55
samp:dna_1__barc:56	1	dna	56
samp:dna_1__barc:57	1	dna	57
samp:dna_1__barc:58	1	dna	58
samp:dna_1__barc:59	1	dna	59
samp:dna_1__barc:6	1	dna	6
samp:dna_1__barc:60	1	dna	60
samp:dna_1__barc:61	1	dna	61
samp:dna_1__barc:62	1	dna	62
samp:dna_1__barc:63	1	dna	63
samp:dna_1__barc:64	1	dna	64
samp:dna_1__barc:65	1	dna	65
samp:dna_1__barc:66	1	dna	66
samp:dna_1__barc:67	1	dna	67
samp:dna_1__barc:68	1	dna	68
samp:dna_1__barc:69	1	dna	69
samp:dna_1__barc:7	1	dna	7
samp:dna_1__barc:70	1	dna	70
samp:dna_1__barc:71	1	dna	71
samp:dna_1__barc:72	1	dna	72
samp:dna_1__barc:73	1	dna	73
samp:dna_1__barc:74	1	dna	74
samp:dna_1__barc:75	1	dna	75
samp:dna_1__barc:76	1	dna	76
samp:dna_1__barc:77	1	dna	77
samp:dna_1__barc:78	1	dna	78
samp:dna_1__barc:79	1	dna	79
samp:dna_1__barc:8	1	dna	8
samp:dna_1__barc:80	1	dna	80
samp:dna_1__barc:81	1	dna	81
samp:dna_1__barc:82	1	dna	82
samp:dna_1__barc:83	1	dna	83
samp:dna_1__barc:84	1	dna	84
samp:dna_1__barc:85	1	dna	85
samp:dna_1__barc:86	1	dna	86
samp:dna_1__barc:87	1	dna	87
samp:dna_1__barc:88	1	dna	88
samp:dna_1__barc:89	1	dna	89
samp:dna_1__barc:9	1	dna	9
samp:dna_1__barc:90	1	dna	90
samp:dna_1__barc:91	1	dna	91
samp:dna_1__barc:92	1	dna	92
samp:dna_1__barc:93	1	dna	93
samp:dna_1__barc:94	1	dna	94
samp:dna_1__barc:95	1	dna	95
samp:dna_1__barc:96	1	dna	96
samp:dna_1__barc:97	1	dna	97
samp:dna_1__barc:98	1	dna	98
samp:dna_1__barc:99	1	dna	99
