	condition	barcode	seq
samp:dna_1__barc:1___seq:SNP	dna	1	SNP
samp:dna_1__barc:10___seq:SNP	dna	10	SNP
samp:dna_1__barc:100___seq:SNP	dna	100	SNP
samp:dna_1__barc:11___seq:SNP	dna	11	SNP
samp:dna_1__barc:12___seq:SNP	dna	12	SNP
samp:dna_1__barc:13___seq:SNP	dna	13	SNP
samp:dna_1__barc:14___seq:SNP	dna	14	SNP
samp:dna_1__barc:15___seq:SNP	dna	15	SNP
samp:dna_1__barc:16___seq:SNP	dna	16	SNP
samp:dna_1__barc:17___seq:SNP	dna	17	SNP
samp:dna_1__barc:18___seq:SNP	dna	18	SNP
samp:dna_1__barc:19___seq:SNP	dna	19	SNP
samp:dna_1__barc:2___seq:SNP	dna	2	SNP
samp:dna_1__barc:20___seq:SNP	dna	20	SNP
samp:dna_1__barc:21___seq:SNP	dna	21	SNP
samp:dna_1__barc:22___seq:SNP	dna	22	SNP
samp:dna_1__barc:23___seq:SNP	dna	23	SNP
samp:dna_1__barc:24___seq:SNP	dna	24	SNP
samp:dna_1__barc:25___seq:SNP	dna	25	SNP
samp:dna_1__barc:26___seq:SNP	dna	26	SNP
samp:dna_1__barc:27___seq:SNP	dna	27	SNP
samp:dna_1__barc:28___seq:SNP	dna	28	SNP
samp:dna_1__barc:29___seq:SNP	dna	29	SNP
samp:dna_1__barc:3___seq:SNP	dna	3	SNP
samp:dna_1__barc:30___seq:SNP	dna	30	SNP
samp:dna_1__barc:31___seq:SNP	dna	31	SNP
samp:dna_1__barc:32___seq:SNP	dna	32	SNP
samp:dna_1__barc:33___seq:SNP	dna	33	SNP
samp:dna_1__barc:34___seq:SNP	dna	34	SNP
samp:dna_1__barc:35___seq:SNP	dna	35	SNP
samp:dna_1__barc:36___seq:SNP	dna	36	SNP
samp:dna_1__barc:37___seq:SNP	dna	37	SNP
samp:dna_1__barc:38___seq:SNP	dna	38	SNP
samp:dna_1__barc:39___seq:SNP	dna	39	SNP
samp:dna_1__barc:4___seq:SNP	dna	4	SNP
samp:dna_1__barc:40___seq:SNP	dna	40	SNP
samp:dna_1__barc:41___seq:SNP	dna	41	SNP
samp:dna_1__barc:42___seq:SNP	dna	42	SNP
samp:dna_1__barc:43___seq:SNP	dna	43	SNP
samp:dna_1__barc:44___seq:SNP	dna	44	SNP
samp:dna_1__barc:45___seq:SNP	dna	45	SNP
samp:dna_1__barc:46___seq:SNP	dna	46	SNP
samp:dna_1__barc:47___seq:SNP	dna	47	SNP
samp:dna_1__barc:48___seq:SNP	dna	48	SNP
samp:dna_1__barc:49___seq:SNP	dna	49	SNP
samp:dna_1__barc:5___seq:SNP	dna	5	SNP
samp:dna_1__barc:50___seq:SNP	dna	50	SNP
samp:dna_1__barc:51___seq:SNP	dna	51	SNP
samp:dna_1__barc:52___seq:SNP	dna	52	SNP
samp:dna_1__barc:53___seq:SNP	dna	53	SNP
samp:dna_1__barc:54___seq:SNP	dna	54	SNP
samp:dna_1__barc:55___seq:SNP	dna	55	SNP
samp:dna_1__barc:56___seq:SNP	dna	56	SNP
samp:dna_1__barc:57___seq:SNP	dna	57	SNP
samp:dna_1__barc:58___seq:SNP	dna	58	SNP
samp:dna_1__barc:59___seq:SNP	dna	59	SNP
