gene_name	cisbp_motif_id	var_explained	beta	padj	activ_or_repr
AC023509.3	M08490_1	5.486813902111365e-07	-0.008821736951130964	1.0	repressing
AC138696.1	M09315_1	4.621767606183269e-06	-0.01590488039359248	1.0	repressing
AHR	M03663_1	0.0	0.0	1.0	
AHRR	M03663_1	0.0	0.0	1.0	
AIRE	M06440_1	1.815478738564913e-06	-0.008886543347706265	1.0	repressing
ALX1	M08464_1	4.228555230412212e-07	-0.004135521634908829	1.0	repressing
ALX1	M05586_1	4.9052436501551e-07	-0.004463623450205179	1.0	repressing
ALX3	M05560_1	9.058040102427611e-07	-0.006810965608128986	1.0	repressing
ALX4	M05562_1	5.442148441892058e-07	-0.0052611031715845	1.0	repressing
ALX4	M08468_1	6.341965127498739e-07	-0.008322195207225113	1.0	repressing
ANHX	M01298_1	1.051843142474418e-06	-0.007239280244693817	1.0	repressing
AR	M05563_1	1.1976863599771903e-06	-0.012261913095050994	1.0	repressing
AR	M05564_1	1.2842266290391535e-06	-0.011396082584250667	1.0	repressing
ARGFX	M09429_1	6.241870832424112e-07	-0.006033443857324405	1.0	repressing
ARGFX	M09430_1	4.90398457841934e-07	-0.004346877449805643	1.0	repressing
ARID3A	M00142_1	1.6001150912048345e-06	-0.005547975616013005	1.0	repressing
ARID3B	M00140_1	5.156838691622312e-07	-0.004085841367380168	1.0	repressing
ARID3C	M00142_1	1.6001150912048345e-06	-0.005547975616013005	1.0	repressing
ARID5A	M00144_1	7.565565435241339e-07	-0.004630558942999393	1.0	repressing
ARID5A	M00146_1	1.2864234119058793e-06	-0.010184377534297519	1.0	repressing
ARID5B	M00143_1	8.90615878823553e-07	-0.008803118864425762	1.0	repressing
ARNT	M00226_1	2.3144607040892495e-06	-0.014134173928179023	1.0	repressing
ARNT2	M08469_1	2.746836723410695e-06	-0.015614209126121438	1.0	repressing
ARNTL	M05565_1	3.367830673672856e-06	-0.01881080079168003	1.0	repressing
ARNTL	M08470_1	3.03366724496712e-06	-0.015794722680942546	1.0	repressing
ARNTL2	M00267_1	2.6862045106046395e-06	-0.016184724150236883	1.0	repressing
ARX	M05566_1	3.564406280132104e-07	-0.0042269491281213475	1.0	repressing
ARX	M08472_1	6.551209331684404e-07	-0.006476265890405836	1.0	repressing
ASCL1	M08474_1	8.597440583457683e-06	-0.01697817038457708	1.0	repressing
ASCL2	M08476_1	8.122737871096852e-06	-0.01617140332246668	1.0	repressing
ASCL3	M08474_1	8.597440583457683e-06	-0.01697817038457708	1.0	repressing
ASCL4	M08474_1	8.597440583457683e-06	-0.01697817038457708	1.0	repressing
ASCL5	M08474_1	8.597440583457683e-06	-0.01697817038457708	1.0	repressing
ATF1	M06452_1	1.5362643077665439e-06	-0.014170004406741954	1.0	repressing
ATF2	M08479_1	8.049336843729549e-07	-0.011644721676946886	1.0	repressing
ATF2	M08481_1	1.0706645842128992e-06	-0.01250891042562845	1.0	repressing
ATF3	M08483_1	9.908597766727922e-07	-0.009324790012453996	1.0	repressing
