snp	pvalues.df1	MAF.df1	N.df1	V.df1	z.df1	r.df1	lABF.df1	pvalues.df2	MAF.df2	N.df2	V.df2	z.df2	r.df2	lABF.df2	internal.sum.lABF	SNP.PP.H4
SNP.1	3.527e-80	0.229039	721200	3.92620017553425e-06	18.9618236774622	0.999825532658585	175.417127160702	3.79063e-37	0.229039	706	0.00401073026429929	12.7347490368931	0.84871294663277	67.8752277343688	243.292354895071	0.00567453914992509
SNP.10	1.568e-71	0.195297	716094	4.44292290195125e-06	17.8841233220099	0.999802575743947	155.624283446687	4.09522e-29	0.195297	706	0.00450644537188368	11.1996122469247	0.833134449579384	51.3552911362054	206.979574582892	9.62698919792457e-19
SNP.100	2.419e-74	0.230143	731879	3.85587445730846e-06	18.2414621756647	0.999828657165296	162.01104184463	2.04663e-35	0.230143	706	0.00399721464864088	12.4195682494802	0.849145855455192	64.5428171182674	226.553858962897	3.05136512299216e-10
SNP.101	8.614e-74	0.228106	735217	3.86242527036223e-06	18.1719142528241	0.999828366117897	160.745821996103	7.38287e-37	0.228106	706	0.00402226730878174	12.6826132466922	0.848343761038487	67.2844170982779	228.030239094381	1.33560464949254e-09
SNP.102	2.026e-75	0.222904	734563	3.92960067561112e-06	18.3765075298686	0.999825381578003	164.492076818608	4.94276e-35	0.222904	706	0.00408858252277469	12.3488257394985	0.846227886752798	63.5859831377474	228.078059956356	1.4010262058143e-09
SNP.103	6.436e-78	0.203061	724960	4.26191082467821e-06	18.6860011927266	0.999810617613607	170.264386092266	3.73404e-35	0.203061	706	0.00437636667345427	12.3713686373149	0.837166729914546	63.1569887083386	233.421374800605	2.93101749457632e-07
SNP.104	6.675e-78	0.203061	724887	4.26234002190509e-06	18.6840553341036	0.9998105985454	170.22808156685	8.93992e-35	0.203061	706	0.00437636667345427	12.3010546180831	0.837166729914546	62.4308230690632	232.658904635913	1.36735670788446e-07
SNP.105	6.929e-79	0.203666	732856	4.20666147263121e-06	18.8045636833364	0.999813072216412	172.480363642715	4.5638e-35	0.203666	706	0.00436668144502354	12.3552421245904	0.8374685219699	63.0121839473401	235.492547590055	2.32550524934171e-06
SNP.106	4.465e-80	0.203666	730326	4.2212342162084e-06	18.9494172959165	0.999812424781454	175.215865319939	4.5638e-35	0.203666	706	0.00436668144502354	12.3552421245904	0.8374685219699	63.0121839473401	238.228049267279	3.5853421585217e-05
SNP.107	2.452e-80	0.231633	721275	3.89493297390488e-06	18.9809336144674	0.999826921829065	175.77585889142	4.22417e-38	0.231633	706	0.00397920365545785	12.9048902312954	0.84972343929846	69.807213894492	245.583072785912	0.0560759624483544
SNP.108	8.92e-81	0.230061	718443	3.92896685234e-06	19.033987371864	0.999825409738089	176.788176904696	1.61558e-37	0.230061	706	0.00399821350183527	12.8011418765775	0.849113846804866	68.6262027095162	245.414379614212	0.0473711821432407
