snp	SNP.PP.H4.abf
rs10234636	0.0272670863660545
rs10435164	2.68711835127165e-05
rs10951637	0.0512297531899565
rs11531505	0.0283755863175329
rs117198283	0.0193046734526145
rs118103401	0.0246216716830504
rs12234460	0.0541258789641616
rs12531683	0.0305420001183372
rs12532479	0.0653943833284173
rs12533531	0.0518828156510406
rs12538229	0.0543556339017657
rs12669577	0.0216407799713246
rs12670267	0.021540495757773
rs12673516	0.0496092759449918
rs1319467	0.0123611371561967
rs141208879	0.0164277716983584
rs147040642	0.0378869880843582
rs17171694	3.0067169680303e-05
rs17171696	2.53268728211299e-05
rs17171703	0.0106543509806714
rs17171705	0.0462755076391961
rs17171710	0.122239063911212
rs2190261	0.0111348669041323
rs4379368	0.035365356060042
rs4434532	0.0163646477430327
rs4526265	0.0154512446546494
rs4723954	0.0201736113885484
rs59682057	0.0436540128580172
rs76206723	0.0597870318522328
rs77410344	4.19330589292234e-05
rs77423178	0.0154512446546494
rs78017680	0.0367122504052108
rs79841539	2.05935874067104e-05
rs80157425	2.60874901251426e-05
