snp	pvalues.df1	MAF.df1	N.df1	V.df1	z.df1	r.df1	lABF.df1	pvalues.df2	MAF.df2	N.df2	V.df2	z.df2	r.df2	lABF.df2	internal.sum.lABF	SNP.PP.H4
SNP.1	2.91e-107	0.147761	728285	5.45189412278073e-06	21.9995265378857	0.999757752292714	237.768187637926	2.15544e-05	0.147761	465	0.00853878002410616	4.24814902614071	0.724899625002189	5.89573883254188	243.663926470468	0.00395874415525538
SNP.10	1.58e-104	0.150746	729344	5.35493485234971e-06	21.7120085583238	0.999762059524595	231.477828892628	2.44721e-05	0.150746	465	0.00839911743000461	4.21961395774925	0.728176138071548	5.83133925792525	237.309168150553	6.88209974946415e-06
SNP.11	1.029e-76	0.0477612	726721	1.51279886842466e-05	18.5374973249156	0.999328096704942	168.051259445257	2.90378e-06	0.0477612	465	0.0236426388486116	4.67751100134326	0.48761840591345	4.99998535228141	173.051244797538	8.52824036438304e-34
SNP.12	7.11e-106	0.163174	728368	5.02727939337677e-06	21.8540731211472	0.999776615272181	234.543604143957	0.00129604	0.163174	465	0.00787464395095711	3.2168551825252	0.74074942364192	3.15771566067793	237.701319804635	1.01866236787833e-05
SNP.13	5.11e-109	0.161194	734423	5.03516068302413e-06	22.1821313316429	0.99977626514924	241.765906727016	0.000998947	0.161194	465	0.0079525544393734	3.29082313013039	0.738854273942576	3.32937906842713	245.095285795443	0.0165649027915792
SNP.14	1.02e-105	0.164474	728200	4.99645644910483e-06	21.8375878706279	0.999777984570725	234.180802779019	0.000143975	0.164474	465	0.00782455824997449	3.80123787111051	0.741972885953547	4.68318967570796	238.863992454727	3.25816128321776e-05
SNP.15	3.22e-106	0.158209	728052	5.15670326686048e-06	21.8902138568508	0.999770865702699	235.345231757859	0.00188911	0.158209	465	0.00807386693945013	3.10713360451006	0.735922611443296	2.88664465342132	238.231876411281	1.73160196133755e-05
SNP.16	3.29e-104	0.153731	734738	5.2307940132129e-06	21.6782722365016	0.999767574300344	230.735659665494	7.02393e-06	0.153731	465	0.00826508200361294	4.49296206616326	0.73134861130413	6.72459013177232	237.460249797266	8.00451252466946e-06
SNP.17	4.43e-102	0.149701	727236	5.40129957164953e-06	21.4514119172103	0.999759999855157	225.858881503246	9.43168e-06	0.149701	465	0.00844735375330777	4.42980850603541	0.727041160913317	6.48422115656892	232.343102659815	4.79718120652515e-08
SNP.18	2.32e-109	0.146707	734205	5.4400594695538e-06	22.2176288048709	0.999758278022772	242.587993914803	3.73159e-05	0.146707	465	0.00858950293084677	4.12349966687697	0.72371694234055	5.50960518619926	248.097599101002	0.333485528960617
SNP.19	1.56e-106	0.147761	726032	5.46881227164831e-06	21.9232263203721	0.999757000739808	236.094303961307	2.15544e-05	0.147761	465	0.00853878002410616	4.24814902614071	0.724899625002189	5.89573883254188	241.990042793848	0.000742333382498982
SNP.2	3.87e-105	0.164179	726996	5.01195425340692e-06	21.7765679870881	0.999777296085708	232.85181774036	0.00144969	0.164179	465	0.00783585095572004	3.1845704881539	0.741696682016348	3.08414407620609	235.935961816566	1.74319121933132e-06
SNP.20	1.68e-109	0.149254	736696	5.34509954425176e-06	22.2321226479573	0.999762496441596	242.902279622388	2.61039e-05	0.149254	465	0.00846820097602601	4.20503738935706	0.726551730189892	5.77524575087263	248.67752537326	0.595574058873672
SNP.21	1.218e-76	0.0477612	725580	1.51517779770727e-05	18.5284250563351	0.999327040824486	167.88384029333	2.90378e-06	0.0477612	465	0.0236426388486116	4.67751100134326	0.48761840591345	4.99998535228141	172.883825645611	7.21356946643138e-34
SNP.22	9.54e-107	0.157186	728431	5.18126709769167e-06	21.9456003668006	0.999769774478321	236.561022744599	0.00118592	0.157186	465	0.00811654961986804	3.24224505752084	0.734896658158993	3.19885527976017	239.759878024359	7.9808792120192e-05
SNP.3	1.268e-77	0.0358209	707395	2.04650972120856e-05	18.6497791369692	0.999091266671281	170.247366285602	4.01357e-05	0.0358209	465	0.0311331342846093	4.10669709529166	0.419516783796405	3.26561991013947	173.512986195742	1.35329093759259e-33
SNP.4	9.434e-81	0.041791	733096	1.70320194931851e-05	19.0310518257001	0.999243593939093	177.360022765395	1.95911e-06	0.041791	465	0.0268518394889808	4.75759712747137	0.455910057922436	4.85538027454444	182.21540303994	8.14334413276366e-30
SNP.5	9.47e-101	0.164179	726094	5.0181804207304e-06	21.308490239385	0.999777019490475	222.771042699221	0.000574672	0.164179	465	0.00783585095572004	3.44329504133196	0.741696682016348	3.72007167682339	226.491114376045	1.37879564759328e-10
SNP.6	6.8e-93	0.137313	727097	5.80514059359118e-06	20.4439543152519	0.99974206030145	204.792338030675	0.000510532	0.137313	465	0.00907720496812552	3.47516879348815	0.712539315075917	3.67926215055211	208.471600181227	2.05932230007074e-18
SNP.7	4.39e-109	0.158683	736117	5.08783583448883e-06	22.1889629632101	0.999773925084336	241.922062626052	0.00152923	0.158683	465	0.00805428484080949	3.16907866433034	0.736394260812419	3.03117536598964	244.953237992041	0.0143713747565756
SNP.8	5.33e-108	0.162687	734651	4.99629698630895e-06	22.076389982058	0.999777991654814	239.422999757032	0.00114316	0.162687	465	0.00789362274685776	3.25269531936658	0.740286874894707	3.24203869202502	242.665038449057	0.00145796090784095
SNP.9	1.73e-109	0.156716	736115	5.13969251894228e-06	22.2308061070342	0.999771621390084	242.855683863518	0.00171	0.156716	465	0.00813635431952946	3.1364613055894	0.734421588330343	2.9494730456635	245.805156909182	0.0336885252105207
