snp	pvalues.df1	MAF.df1	N.df1	V.df1	z.df1	r.df1	lABF.df1	pvalues.df2	MAF.df2	N.df2	V.df2	z.df2	r.df2	lABF.df2	internal.sum.lABF	SNP.PP.H4
SNP.1	4.74e-35	0.244361	754748	3.58774671224454e-06	12.3521954278317	0.999840570012541	71.9042504493442	0.105349	0.244361	574	0.00471749939995321	1.61945686613319	0.826674033105285	0.207743788985769	72.11199423833	4.69456736163833e-11
SNP.10	3.308e-40	0.186717	753048	4.37241916921791e-06	13.273275278548	0.999805708015857	83.7997289163029	1.28216e-05	0.186717	574	0.00573630925181395	4.36312778493627	0.796846351247359	6.78783945631086	90.5875683726138	0.00495947233001485
SNP.100	7.812e-34	0.278894	753602	3.29905595524009e-06	12.124727092797	0.999853396786532	69.0798371165904	0.0272291	0.278894	574	0.00433131562017569	2.20821771613648	0.838572372615274	1.1326848036611	70.2125219202515	7.02530573018621e-12
SNP.101	1.524e-35	0.240602	755070	3.62421627890448e-06	12.4431364009181	0.999838949662327	73.036457108948	0.10702	0.240602	574	0.00476748603782649	1.61173324516028	0.825158577831016	0.199812702191183	73.2362698111392	1.44498138551315e-10
SNP.102	5.477e-34	0.27193	753421	3.35198467336172e-06	12.1537849880503	0.999851045094275	69.4403098969617	0.0351172	0.27193	574	0.00439974850973669	2.10700437895069	0.836439046701714	0.951387184555256	70.3916970815169	8.4038832933421e-12
SNP.103	8.321e-36	0.233083	756785	3.69605584831573e-06	12.4913684123061	0.999835757831107	73.6472444114441	0.0747577	0.233083	574	0.00487303070586693	1.78194807331155	0.821976939337503	0.442106598578604	74.0893510100227	3.39117896550582e-10
SNP.104	2.186e-35	0.239348	754957	3.63774266509602e-06	12.4142964463408	0.999838348683591	72.6798872470766	0.0725468	0.239348	574	0.00478456322162525	1.79567135605696	0.824642117861242	0.459039532607074	73.1389267796837	1.31095176034374e-10
SNP.105	2.003e-35	0.246753	754814	3.56393853557351e-06	12.4212921374757	0.999841627817473	72.7567503244619	0.0619817	0.246753	574	0.00468660401008777	1.86642663177962	0.827613481685731	0.562507736387949	73.3192580608498	1.57001423970404e-10
SNP.106	3.356e-34	0.279449	754694	3.29027215401898e-06	12.1937534990881	0.999853787063393	69.9177189067231	0.0282947	0.279449	574	0.00432604294948642	2.19317601393061	0.838737194388588	1.10481181511369	71.0225307218368	1.57923798570962e-11
SNP.107	3.045e-36	0.233668	748923	3.7283496445563e-06	12.5710891113273	0.999834323024761	74.6503142684301	0.103697	0.233668	574	0.00486454146489554	1.62718882689534	0.822231939419267	0.224891823244818	74.8752060916749	7.44120441901478e-10
SNP.108	1.007e-33	0.278894	745810	3.3335235059611e-06	12.1039084349628	0.999851865346862	68.8327540573077	0.0256564	0.278894	574	0.00433131562017569	2.23137348046172	0.838572372615274	1.17578831562343	70.0085423729311	5.72898964104463e-12
SNP.109	1.929e-35	0.241162	754563	3.6209001673634e-06	12.4243031331604	0.999839096997615	72.8018809903459	0.113457	0.241162	574	0.00475992559753698	1.58284411044526	0.825387432533306	0.161368140747107	72.963249131093	1.09974216781814e-10
SNP.11	4.921e-34	0.277919	753790	3.30533495612189e-06	12.1625310338521	0.999853117801722	69.5397768090439	0.0293804	0.277919	574	0.00434064187556641	2.17834447980168	0.838280995823808	1.07795157042606	70.6177283794699	1.0535233316449e-11
SNP.110	1.07e-35	0.248744	755611	3.54104271221381e-06	12.4713483744681	0.999842645088367	73.3765247174203	0.0793431	0.248744	574	0.00466141258679197	1.75451033836691	0.828381069213657	0.393766036909924	73.7702907543302	2.46481654964539e-10
SNP.111	2.845e-35	0.238693	754166	3.64840925842898e-06	12.3931891540532	0.999837874766257	72.4195474677541	0.0580671	0.238693	574	0.00479356483761733	1.89519101563174	0.824370144899115	0.610777018617429	73.0303244863715	1.17603794453378e-10
SNP.112	2.044e-35	0.240602	754864	3.62520531607336e-06	12.4196711259297	0.999838905719279	72.7449307993076	0.0697513	0.240602	574	0.00476748603782649	1.81352231525239	0.825158577831016	0.484978897960122	73.2299096972678	1.43582030300446e-10
SNP.113	4.204e-39	0.201754	743271	4.17699457412825e-06	13.081439958072	0.999814390254079	81.2502224262964	3.15967e-05	0.201754	574	0.00540877863084822	4.16164230638232	0.80619794572917	6.16091962218923	87.4111420484856	0.000206981269746274
SNP.114	1.027e-35	0.231156	756735	3.71777226330552e-06	12.4746160773187	0.999834792975057	73.4410131192725	0.137189	0.231156	574	0.00490133866493467	1.48634079999176	0.821127765877844	0.0464796625467924	73.4874927818193	1.85766330474714e-10
SNP.115	6.388e-35	0.238636	755744	3.64138834346249e-06	12.3281713081942	0.999838186705848	71.6150737054862	0.0991479	0.238636	574	0.00479435085756397	1.64899870507789	0.824346404771325	0.251159307682004	71.8662330131682	3.67166315259129e-11
SNP.116	1.224e-35	0.242386	755455	3.60417509393715e-06	12.4606298954055	0.999839840095573	73.2515459778134	0.0629044	0.242386	574	0.00474354023622001	1.85986661300282	0.825883853746969	0.554392648302428	73.8059386261158	2.55426689889951e-10
SNP.117	1.103e-33	0.253298	753448	3.50863058382208e-06	12.0964334552494	0.999844085176164	68.7673438010618	0.154529	0.253298	574	0.0046055238608355	1.42371496465069	0.830089103443229	-0.0449600691348376	68.722383731927	1.5830930282993e-12
SNP.118	2.73e-35	0.238035	754614	3.65316513315298e-06	12.3964968172859	0.999837663462623	72.4611737951567	0.0826022	0.238035	574	0.00480266472785559	1.73578306277344	0.824095384984321	0.37256944975159	72.8337432449083	9.66155845779603e-11
SNP.119	4.775e-34	0.278894	754033	3.29717023788196e-06	12.1649906534422	0.999853480571627	69.5684810533096	0.0269252	0.278894	574	0.00433131562017569	2.21260050778726	0.838572372615274	1.14080869373052	70.7092897470401	1.1545393905566e-11
SNP.12	4.599e-35	0.223058	749702	3.84835326457018e-06	12.3546242416474	0.999828991326099	71.9684208338007	0.106713	0.223058	574	0.00502633822152403	1.6131450426173	0.817398951467009	0.213307084121838	72.1817279179226	5.03362116824135e-11
SNP.120	9.043e-36	0.238693	753570	3.65129479251078e-06	12.4847472920404	0.999837746561894	73.5586368331673	0.0787121	0.238693	574	0.00479356483761733	1.75820814425554	0.824370144899115	0.404497718366621	73.9631345515339	2.98906664521032e-10
SNP.121	2.744e-34	0.280151	754604	3.2856198880405e-06	12.2101449131712	0.999853993770353	70.1170049041323	0.0296898	0.280151	574	0.0043194109930225	2.17420424132379	0.8389445989643	1.06991095423305	71.1869158583654	1.86139755586131e-11
SNP.122	1.831e-35	0.232412	754570	3.71435787322091e-06	12.4284723389084	0.999834944675614	72.8660996248477	0.0858044	0.232412	574	0.00488282756166603	1.71795732214904	0.82168285759862	0.350452284232115	73.2165519090799	1.41676844812723e-10
SNP.123	4.997e-34	0.279449	753942	3.29355395110659e-06	12.1612792243286	0.999853641248415	69.522808323147	0.0282947	0.279449	574	0.00432604294948642	2.19317601393061	0.838737194388588	1.10481181511369	70.6276201382607	1.06399624268188e-11
SNP.124	3.732e-35	0.230479	755662	3.73070220547611e-06	12.3714125266185	0.999834218501152	72.160817415185	0.0876569	0.230479	574	0.00491141095817855	1.70788921895044	0.820826043370337	0.337428766369063	72.4982461815541	6.90784624764784e-11
SNP.125	5.339e-34	0.239348	743259	3.69499634610936e-06	12.1558705626529	0.99983580490463	69.5132357927026	0.089735	0.239348	574	0.00478456322162525	1.6967972439199	0.824642117861242	0.316658996648915	69.8298947893515	4.7917304234202e-12
SNP.126	4.076e-34	0.279487	754815	3.28947090299986e-06	12.1779086210743	0.999853822664137	69.7245450135095	0.0152851	0.279487	574	0.00432568289137254	2.42555261336924	0.838748452037964	1.55491182040759	71.2794568339171	2.04187510593725e-11
SNP.127	2.446e-36	0.275819	742838	3.36980357328817e-06	12.5883937695757	0.999850253379707	74.8186809057533	0.158092	0.275819	574	0.00436100722434536	1.41151776897673	0.83764543198541	-0.0745313088514858	74.7441495969018	6.52718801681463e-10
SNP.128	2.758e-36	0.245614	742633	3.63369961121792e-06	12.5789126181544	0.999838528316817	74.736156189159	0.0681905	0.245614	574	0.0047012286469993	1.82374587462887	0.82716851845154	0.497882390951315	75.2340385801103	1.06532521150243e-09
SNP.129	3.864e-35	0.239348	754931	3.63786794980322e-06	12.3686206311901	0.999838343117182	72.1140055616901	0.0573074	0.239348	574	0.00478456322162525	1.90095887102789	0.824642117861242	0.619518603910729	72.7335241656009	8.74022459704223e-11
SNP.13	1.764e-40	0.186717	753596	4.36923963309414e-06	13.3202988392613	0.999805849273687	84.424518586466	1.28216e-05	0.186717	574	0.00573630925181395	4.36312778493627	0.796846351247359	6.78783945631086	91.2123580427768	0.00926356552240334
SNP.130	7.887e-36	0.241206	756131	3.61294180102286e-06	12.4956290135363	0.999839450589096	73.68938366636	0.0653982	0.241206	574	0.00475933326994637	1.84252632155149	0.825405367665629	0.528441491469448	74.2178251578294	3.85608255562864e-10
SNP.131	1.678e-35	0.232283	752689	3.72508211910612e-06	12.4354467571881	0.99983446820002	72.954195460488	0.0736765	0.232283	574	0.00488471835391614	1.78861711252136	0.821626124074502	0.45231633772867	73.4065117982167	1.71315795824874e-10
SNP.132	1.476e-34	0.248111	753790	3.55565718526926e-06	12.2604925399136	0.999841995761051	70.7715187392798	0.0823347	0.248111	574	0.0046693707834218	1.73729734475502	0.828138427619717	0.36921158682519	71.140730326105	1.77738298169195e-11
SNP.133	4.179e-35	0.240409	755062	3.62624261971585e-06	12.3623235587327	0.999838859631749	72.0345912221762	0.068796	0.240409	574	0.00477010105388134	1.81975712278448	0.825079450770777	0.494420189165632	72.5290114113418	7.12367064552306e-11
SNP.134	2.292e-35	0.240602	754835	3.62534459280823e-06	12.4105058932034	0.999838899531196	72.6311806837493	0.0697513	0.240602	574	0.00476748603782649	1.81352231525239	0.825158577831016	0.484978897960122	73.1161595817094	1.28144226105244e-10
SNP.135	2.489e-35	0.241206	754834	3.61914976928598e-06	12.4039024155308	0.999839174768058	72.5484293903896	0.0619907	0.241206	574	0.00475933326994637	1.86636225647827	0.825405367665629	0.564926400752173	73.1133557911418	1.27785439748736e-10
SNP.136	1.246e-32	0.283887	727897	3.37888189448332e-06	11.8957025808459	0.999849850019759	66.3413083062342	0.0457225	0.283887	574	0.00428480486820335	1.99794613669692	0.840028520301452	0.76022833910859	67.1015366453428	3.13026777706091e-13
SNP.137	1.472e-32	0.283333	708300	3.4764676727164e-06	11.8817794501672	0.999845514195209	66.1897323823598	0.0551716	0.283333	574	0.0042898642031098	1.91752238439647	0.839869878750194	0.628171190634468	66.8179035729943	2.35722594428559e-13
SNP.138	1.337e-38	0.200501	744668	4.18863815805851e-06	12.9932096806863	0.999813872953813	80.1014970569518	1.76124e-05	0.200501	574	0.00543405017401588	4.29319020562955	0.805468589761802	6.60440914558548	86.7059062025372	0.000102247102683268
SNP.139	1.965e-40	0.183879	753114	4.42407618425641e-06	13.3122402938458	0.99980341304584	84.3232488142424	1.09802e-05	0.183879	574	0.00580458834743916	4.39691167458626	0.794924120563501	6.89187973438181	91.2151285486242	0.00928926586989323
