snp	SNP.PP.H4.abf
rs12567136	0.00398775647559148
rs13306561	1.33180962893547e-06
rs17037390	1.06673734103072e-10
rs17037425	5.56540756669586e-19
rs17037427	0.00648252178869103
rs17037429	0.000520925592391629
rs17037452	0.021049339416451
rs17367504	8.68415864013006e-06
rs2050265	5.06103821658766e-06
rs2236796	0.00610696131158305
rs3753584	0.000218325498135581
rs41275472	1.48771245668662e-05
rs45553335	4.75779911015536e-06
rs45603435	2.66562527349022e-08
rs55857306	0.26219694420364
rs56153133	0.000481168318289911
rs6699618	0.698878456994693
rs7537765	4.28617074478334e-05
