snp	pvalues.df1	MAF.df1	N.df1	V.df1	z.df1	r.df1	lABF.df1	pvalues.df2	MAF.df2	N.df2	V.df2	z.df2	r.df2	lABF.df2	internal.sum.lABF	SNP.PP.H4
SNP.1	2.979e-16	0.488798	718418	2.78529266049988e-06	8.17417385540891	0.999876224537351	28.9059032399162	5.45571e-11	0.488798	706	0.00283428382800425	6.55793740189546	0.888124572723415	18.0023991569375	46.9083023968537	0.000205438009289667
SNP.10	2.011e-17	0.496933	745119	2.68423601430581e-06	8.49315604562834	0.99988071485223	31.5455507024793	2.95123e-10	0.496933	706	0.00283296778292285	6.30131914782442	0.888170710703995	16.537738899409	48.0832896018883	0.00066522912853932
SNP.11	6.4e-19	0.494877	744257	2.68752592595855e-06	8.88486228188384	0.999880568668837	34.9492903897453	4.07947e-10	0.494877	706	0.00283315861625514	6.25095630804961	0.888164020161417	16.2569014415174	51.2061918312627	0.0151088170785551
SNP.12	6.243e-17	0.488798	742671	2.6943348839136e-06	8.36054344949984	0.999880266120856	30.4300392891999	5.45571e-11	0.488798	706	0.00283428382800425	6.55793740189546	0.888124572723415	18.0023991569375	48.4324384461374	0.000943201915198893
SNP.13	1.012e-19	0.492769	748030	2.67424887557087e-06	9.0876529272565	0.999881158619371	36.7689501345879	2.31543e-08	0.492769	706	0.00283345380508963	5.58661143135601	0.888153671153975	12.7644242634909	49.5333743980787	0.002836188441568
SNP.14	4.02e-19	0.475309	740508	2.70745094757307e-06	8.93641502513757	0.999879683324619	35.4122608703624	2.36525e-07	0.475309	706	0.00283978624119751	5.1680689952284	0.887931720726966	10.7635327779695	46.1757936483319	9.87543626904088e-05
SNP.15	6.924e-15	0.472505	740164	2.71029953309304e-06	7.78586107487413	0.999879556751297	25.7939997853252	1.23552e-09	0.472505	706	0.00284145346120719	6.07556489573594	0.887873303496309	15.2927437724588	41.0867435577841	6.08709273544053e-07
SNP.16	3.359e-17	0.488798	737731	2.71237670989968e-06	8.43335283962372	0.999879464454574	31.0446507951366	5.45571e-11	0.488798	706	0.00283428382800425	6.55793740189546	0.888124572723415	18.0023991569375	49.0470499520741	0.00174392201219496
SNP.17	2.554e-19	0.490625	752139	2.66001812468083e-06	8.98642623135644	0.999881790947269	35.8516272353247	1.603e-10	0.490625	706	0.00283385746781773	6.39523559614377	0.88813951955727	17.0667746791812	52.9184019145059	0.0837208934280096
SNP.18	5.553e-19	0.497895	744352	2.68694844485982e-06	8.90063116523348	0.999880594328534	35.0893959081638	1.13118e-09	0.497895	706	0.00283291140060666	6.08970631948518	0.888172687465412	15.3733305287438	50.4627264369075	0.00718368937445196
SNP.19	1.546e-19	0.493878	749855	2.667582233936e-06	9.04145507279125	0.999881454844223	36.3490012030165	3.74794e-09	0.493878	706	0.00283328594338254	5.89495037555953	0.888159556177802	14.3366266366749	50.6856278396914	0.0089774375815268
SNP.2	2.498e-16	0.488776	729110	2.7444532834827e-06	8.19538131239254	0.999878039174769	29.0721363878321	5.34142e-11	0.488776	706	0.00283428942424939	6.56109465447943	0.888124376540181	18.0207889144423	47.0929253022744	0.000247093605850517
SNP.20	4.94e-17	0.488776	732851	2.73044361475944e-06	8.38811472907553	0.999878661675231	30.6675017225481	5.46857e-11	0.488776	706	0.00283428942424939	6.55758620323722	0.888124376540181	18.0003503961941	48.6678521187422	0.00119355801336336
SNP.21	9.691e-20	0.49182	748075	2.67424448419072e-06	9.09236247064876	0.999881158814497	36.8117540198214	6.36499e-09	0.49182	706	0.00283361960695605	5.80687426011144	0.888147858422173	13.8787903258955	50.6905443457169	0.0090216838869768
SNP.22	3.206e-19	0.490835	747611	2.67608716786265e-06	8.9613937591333	0.999881076936916	35.6299969996636	1.36401e-10	0.490835	706	0.00283381331962176	6.4198585795917	0.888141067281533	17.206924026034	52.8369210256975	0.0771697607627811
SNP.23	2.541e-19	0.495918	751208	2.66255592416119e-06	8.98698729109302	0.999881678182858	35.8571409078001	1.62245e-10	0.495918	706	0.00283305001512362	6.39339257131928	0.888167827662587	17.05676006631	52.91390097411	0.0833449174342927
SNP.24	3.281e-19	0.495927	748394	2.6725664869563e-06	8.95884398111036	0.999881233374433	35.6065015216342	1.62826e-10	0.495927	706	0.0028330491833416	6.39284621925309	0.888167856824573	17.0536582557619	52.6601597773961	0.064666702985778
SNP.25	1.911e-19	0.485714	749795	2.66957508697929e-06	9.01826019069711	0.999881366293983	36.1399492958959	6.29455e-10	0.485714	706	0.00283517571153206	6.18287263279915	0.888093307746765	15.8799323634393	52.0198816593352	0.0340887805481996
SNP.26	5.771e-20	0.494792	749966	2.66707692036178e-06	9.14853656461239	0.99988147729728	37.3226976996766	8.45556e-09	0.494792	706	0.00283316856891791	5.75911596386818	0.888163671227688	13.633687870795	50.9563855704716	0.0117690384754045
SNP.27	3.162e-17	0.496939	745371	2.68332811523045e-06	8.44041978104005	0.999880755193676	31.098929508187	5.25798e-10	0.496939	706	0.002832967366257	6.211205074598	0.888170725312249	16.0370086643993	47.1359381725863	0.000257953698645832
SNP.28	1.834e-20	0.498978	747526	2.67550340176383e-06	9.27158499316963	0.999881102875906	38.4574078372718	6.10207e-10	0.498978	706	0.0028328730253639	6.18777147988781	0.888174032904695	15.908027044081	54.3654348813528	0.355854356428569
SNP.29	7.134e-17	0.497959	744390	2.68680842838203e-06	8.34479089191089	0.999880600550003	30.297092310865	2.23432e-10	0.497959	706	0.00283290839377238	6.34430485573192	0.888172792885131	16.7791678996229	47.0762602104879	0.000243009890486977
SNP.3	5.087e-17	0.488776	734626	2.72384632931597e-06	8.38466596976639	0.999878954816852	30.6373834815052	5.53235e-11	0.488776	706	0.00283428942424939	6.55585626376252	0.888124376540181	17.9902766403973	48.6276601219025	0.00114653778149085
SNP.30	7.88e-19	0.497963	744697	2.68570062119622e-06	8.86170483925048	0.999880649774124	34.743495897245	1.95812e-10	0.497963	706	0.00283290820892771	6.36459006175717	0.888172799365793	16.8936546081084	51.6371505053533	0.0232484197036558
SNP.31	1.942e-19	0.497895	739524	2.70449025160549e-06	9.01649685185172	0.999879814879461	36.1304837155439	2.53531e-09	0.497895	706	0.00283291140060666	5.95916436545474	0.888172687465412	14.6748346134997	50.8053183290437	0.0101189002163326
SNP.32	3.504e-19	0.491853	747934	2.6747428648571e-06	8.95158945241309	0.999881136669511	35.5419464421858	3.15558e-10	0.491853	706	0.0028336134984193	6.29093571671949	0.888148072575746	16.4793276243834	52.0212740665693	0.0341362790738062
SNP.33	4.065e-17	0.497959	745351	2.68334425794465e-06	8.4110085764551	0.999880754476393	30.8511516370309	2.0792e-10	0.497959	706	0.00283290839377238	6.35537408761509	0.888172792885131	16.8415956516957	47.6927472887266	0.00045015376407506
SNP.34	1.088e-19	0.497753	750236	2.66588165975477e-06	9.07977452858742	0.999881530407385	36.6958421754589	5.22642e-07	0.497753	706	0.00283291840352376	5.01780862559835	0.888172441942982	10.0859833901979	46.7818255656567	0.00018103085733943
SNP.35	3.725e-19	0.495927	750214	2.66608290892888e-06	8.94483672947985	0.999881521465096	35.479922941644	1.62826e-10	0.495927	706	0.0028330491833416	6.39284621925309	0.888167856824573	17.0536582557619	52.5335811974059	0.0569781494889285
SNP.36	9.099e-20	0.49389	751623	2.66130586930496e-06	9.09921149915713	0.999881733727708	36.8716430213481	3.72768e-09	0.49389	706	0.00283328427960992	5.89584534191271	0.888159614508003	14.3413134818133	51.2129565031614	0.0152113697453675
SNP.37	3.491e-17	0.488776	736239	2.71787875067753e-06	8.42884285937726	0.999879219978434	31.0076357067857	5.53742e-11	0.488776	706	0.00283428942424939	6.55571958559087	0.888124376540181	17.9894808515526	48.9971165583383	0.00165898042684315
SNP.38	4.373e-17	0.497951	745492	2.68283708983069e-06	8.40243887193878	0.999880777011823	30.7790233844445	2.80486e-10	0.497951	706	0.00283290876454966	6.30919750286764	0.888172779885665	16.5818907673531	47.3609141517976	0.000323033516926822
SNP.39	1.531e-16	0.488798	720969	2.7754374772993e-06	8.25406189545526	0.999876662437262	29.5602746468779	5.45571e-11	0.488798	706	0.00283428382800425	6.55793740189546	0.888124572723415	18.0023991569375	47.5626738038154	0.000395248917547181
SNP.4	3.606e-17	0.489775	731795	2.73414925618924e-06	8.4250487761247	0.999878497020049	30.9786253268138	4.86662e-11	0.489775	706	0.00283404639508924	6.57496015036506	0.888132896305164	18.1018155517841	49.0804408785979	0.00180313629213871
SNP.40	1.034e-16	0.496945	673067	2.97158331486683e-06	8.30081453808376	0.99986794707073	29.9810576736595	9.85219e-11	0.496945	706	0.00283296695040719	6.46920187678572	0.888170739891892	17.4898361416941	47.4708938153536	0.000360587897818461
SNP.5	1.95e-15	0.440937	752294	2.69615659412578e-06	7.94448450468501	0.999880185175351	27.0388544087243	7.91291e-09	0.440937	706	0.00287294961589414	5.77030304712096	0.886771161438225	13.6739702390117	40.7128246477361	4.1881188627332e-07
SNP.6	4.457e-17	0.485656	739370	2.70723366983544e-06	8.40020496489331	0.999879692979084	30.7647452997977	7.12318e-07	0.485656	706	0.00283519455873404	4.95797479958346	0.888092647081858	9.82028899103297	40.5850342908306	3.68570313485801e-07
SNP.7	7.899e-19	0.494898	739614	2.70439481258721e-06	8.86143641048295	0.999879819120176	34.7445527143021	4.00166e-10	0.494898	706	0.00283315618260181	6.2539629436673	0.888164105483724	16.2735992066287	51.0181519209308	0.0125188883972177
SNP.8	1.83e-19	0.490816	749905	2.66790459402189e-06	9.02300453132029	0.999881440520505	36.1824312558508	7.75303e-10	0.490816	706	0.00283381727277618	6.14990309857708	0.888140928693703	15.7000681139376	51.8824993697884	0.029713040526896
