snp	pvalues.df1	MAF.df1	N.df1	V.df1	z.df1	r.df1	lABF.df1	pvalues.df2	MAF.df2	N.df2	V.df2	z.df2	r.df2	lABF.df2	internal.sum.lABF	SNP.PP.H4
SNP.1	1.247e-13	0.177945	703952	4.85557081674172e-06	7.4116899764497	0.99978424341354	23.2399682090907	7.87339e-13	0.177945	574	0.00595485851495988	7.16334147331373	0.790726124614917	19.5053913654234	42.7453595745141	0.000483522652984888
SNP.10	1.419e-13	0.211779	708453	4.22793270464589e-06	7.39453872298914	0.999812127182621	23.0445924312543	8.31582e-11	0.211779	574	0.00521827806342246	6.49477391113347	0.811738736025287	16.2854551721791	39.3300476034334	1.58915289180655e-05
SNP.11	2.721e-13	0.200501	708200	4.40432759091375e-06	7.30752880915818	0.999804290416809	22.4253238467	1.031e-12	0.200501	574	0.00543405017401588	7.1263038331669	0.805468589761802	19.6339607060548	42.0592845527548	0.000243477161161367
SNP.12	1.426e-15	0.219849	728130	4.00366669488112e-06	7.9831892634025	0.99982209091528	27.5428672689884	1.01392e-12	0.219849	574	0.00507872792777663	7.12860396627252	0.815846186195504	19.8834336186217	47.4263008876101	0.0521583456351761
SNP.13	1.178e-15	0.219298	728076	4.0111908513884e-06	8.00672867134885	0.999821756627413	27.7319582817135	5.1466e-13	0.219298	574	0.0050878951050792	7.22137107832523	0.815575088795286	20.4201300832183	48.1520883649317	0.107777797518232
SNP.14	1.903e-15	0.218045	722903	4.0565990444957e-06	7.94750846995042	0.999819739208945	27.2651995854127	1.56199e-13	0.218045	574	0.00510893313425623	7.38176988276433	0.814953619923936	21.3600515618606	48.6252511472733	0.172990115955696
SNP.2	8.351e-14	0.205514	712690	4.29676575766758e-06	7.46466784767459	0.999809069094565	23.5735141086543	5.56927e-12	0.205514	574	0.00533495119831378	6.89025440095708	0.808336247464412	18.3621201172584	41.9356342259127	0.000215158037723519
SNP.3	1.382e-15	0.216792	722906	4.07350082104883e-06	7.98705539653342	0.999818988290236	27.5822788917875	1.22464e-13	0.216792	574	0.00513024073961869	7.4140886353486	0.814325152358789	21.5393225590803	49.1216014508678	0.28417344206693
SNP.4	3.011e-15	0.216792	721264	4.08277438571886e-06	7.89044951673926	0.999818576281173	26.8166115036165	1.22464e-13	0.216792	574	0.00513024073961869	7.4140886353486	0.814325152358789	21.5393225590803	48.3559340626968	0.13214732187984
SNP.5	1.789e-15	0.195489	725966	4.37924670014445e-06	7.95516011080878	0.999805404688033	27.3638345141922	7.53808e-14	0.195489	574	0.00553864844933287	7.47814186734055	0.802463786393219	21.6270163171281	48.9908508313204	0.24934416819972
SNP.6	1.386e-13	0.235589	712350	3.89757641807978e-06	7.39766496636646	0.999826804383336	23.0274399384848	1.07723e-10	0.235589	574	0.00483700097808211	6.45569552149431	0.823060291728407	16.2849591615005	39.3123990999853	1.56135275846171e-05
SNP.7	3.308e-14	0.199248	706459	4.43599491141931e-06	7.58565954070753	0.999802883533166	24.4995861723059	1.06758e-11	0.199248	574	0.00545966642704944	6.7970838090318	0.804730630771492	17.7727300709843	42.2723162432903	0.000301284449863697
SNP.8	4.894e-13	0.188442	709317	4.60927232260549e-06	7.22821043244091	0.999795185409939	21.8714598378111	9.98243e-13	0.188442	574	0.0056958801673407	7.13074887777874	0.797988921305665	19.4881862121917	41.3596460500028	0.00012095089555548
SNP.9	1.755e-13	0.211779	706984	4.23671767452233e-06	7.36624588055106	0.999811736886362	22.8368464430454	8.31582e-11	0.211779	574	0.00521827806342246	6.49477391113347	0.811738736025287	16.2854551721791	39.1223016152245	1.29104906117387e-05
