snp	pvalues.df1	MAF.df1	N.df1	V.df1	z.df1	r.df1	lABF.df1	pvalues.df2	MAF.df2	N.df2	V.df2	z.df2	r.df2	lABF.df2	internal.sum.lABF	SNP.PP.H4
SNP.1	2.645e-40	0.372709	753099	2.83974273279379e-06	13.290022123935	0.999873805139029	83.8123577983691	8.24549e-07	0.372709	706	0.00302918896929783	4.92946548676755	0.881344097027884	9.64240395062153	93.4547617489907	0.0785950542552479
SNP.10	2.746e-38	0.326132	744292	3.0567393379725e-06	12.9380244996484	0.999864163372408	79.2328411308876	8.29704e-06	0.326132	706	0.003222530644955	4.45737238508301	0.87471953325918	7.65093741261761	86.8837785435052	0.000110066072877636
SNP.11	2.783e-40	0.372709	751439	2.84601599374569e-06	13.28621608123	0.999873526397873	83.762867619521	5.01637e-07	0.372709	706	0.00302918896929783	5.02568565505206	0.881344097027884	10.0645176766902	93.8273852962111	0.114083692264504
SNP.12	4.608e-40	0.37169	754157	2.83892153390898e-06	13.2484204140346	0.999873841627547	83.2602637761226	8.3179e-07	0.37169	706	0.00303256734737704	4.92775694278879	0.881227480726157	9.6340576527642	92.8943214288868	0.0448744438936815
SNP.13	9.545e-39	0.328921	743367	3.0472036226572e-06	13.018969772801	0.999864587067028	80.2817203189364	9.36211e-06	0.328921	706	0.00320848529088359	4.43140490451972	0.875197420050984	7.55276770262968	87.8344880215661	0.000284800896128574
SNP.14	2.533e-39	0.372709	752554	2.8417992759646e-06	13.1198907002168	0.999873713760186	81.5664173293712	1.65267e-07	0.372709	706	0.00302918896929783	5.23468440575366	0.881344097027884	11.0094968113197	92.5759141406908	0.0326374749399293
SNP.15	6.566e-38	0.333333	744187	3.02343513794475e-06	12.8708681058609	0.999865643159167	78.3609885196738	7.23889e-06	0.333333	706	0.00318697043201372	4.48654068295808	0.875930466753612	7.7723663390499	86.1333548587237	5.1969508064131e-05
SNP.16	3.836e-38	0.326884	748132	3.03744341031508e-06	12.9123135196006	0.999865020736958	78.8974731145053	4.72502e-06	0.326884	706	0.00321870908420091	4.5766406816932	0.874849508439046	8.12302223138857	87.0204953458939	0.000126191128486215
SNP.17	1.067e-38	0.328921	743437	3.04691670627614e-06	13.010458472803	0.999864599815414	80.1709171871235	9.36211e-06	0.328921	706	0.00320848529088359	4.43140490451972	0.875197420050984	7.55276770262968	87.7236848897532	0.000254929540251776
SNP.18	2.239e-38	0.330957	739314	3.05432658076877e-06	12.9536989476385	0.999864270576943	79.4353470335212	9.40337e-06	0.330957	706	0.00319845099395819	4.43045676381688	0.875539152351628	7.55107382389868	86.9864208574199	0.000121963663707266
SNP.19	8.11e-40	0.375256	752227	2.83524992633647e-06	13.2059225345026	0.999874004768961	82.6975751866021	2.75768e-07	0.375256	706	0.00302089454155567	5.13929715741927	0.881630538591163	10.5760060598306	93.2735812464327	0.0655706555498871
SNP.2	2.813e-40	0.373727	751429	2.84291509245098e-06	13.2854135480277	0.999873664180869	83.751673812598	6.14974e-07	0.373727	706	0.00302584822238717	4.98645443936307	0.881459444715597	9.89237454408766	93.6440483566856	0.094973260369824
SNP.20	7.179e-40	0.374745	750335	2.84394883627946e-06	13.2151008873163	0.999873618248309	82.8203084183618	2.39603e-07	0.374745	706	0.00302254157233676	5.16565139186924	0.881573644859381	10.6952034331742	93.515511851536	0.083517724353644
SNP.21	9.977e-40	0.374745	752358	2.83630180056536e-06	13.190313105742	0.999873958030778	82.4917674393866	2.39603e-07	0.374745	706	0.00302254157233676	5.16565139186924	0.881573644859381	10.6952034331742	93.1869708725608	0.0601305419549046
SNP.22	4.065e-40	0.373457	755004	2.83027910682591e-06	13.2578278723203	0.999874225638654	83.3834357466203	9.8884e-07	0.373457	706	0.00302673094443342	4.89384645223419	0.88142896358245	9.48887269405605	92.8723084406764	0.0438974163897643
SNP.23	4.808e-40	0.373717	753325	2.83579052379632e-06	13.2452310328145	0.999873980748462	83.217480454115	6.93407e-07	0.373717	706	0.00302588087300122	4.96320115529838	0.881458317224943	9.79039722881955	93.0078776829345	0.0502708159255978
SNP.24	1.872e-40	0.372709	748634	2.85667951538972e-06	13.3158617200112	0.999873052583675	84.1589632111189	1.40385e-06	0.372709	706	0.00302918896929783	4.82445728253488	0.881344097027884	9.19104916810457	93.3500123792234	0.0707787917822386
SNP.3	2.511e-40	0.37169	751404	2.84932279738755e-06	13.2939117348025	0.999873379466017	83.8656979710219	8.3179e-07	0.37169	706	0.00303256734737704	4.92775694278879	0.881227480726157	9.6340576527642	93.4997556237861	0.0822121128344756
SNP.4	1.265e-40	0.392057	749880	2.79747464497137e-06	13.3451004174292	0.999875683250133	84.5384437771699	2.72689e-05	0.392057	706	0.00297134601525656	4.19515171644562	0.88334554391131	6.6988611581944	91.2373049353643	0.00855787542101557
SNP.5	3.079e-40	0.37169	752751	2.8442241156082e-06	13.2786487965198	0.999873606016765	83.6620605390424	8.3179e-07	0.37169	706	0.00303256734737704	4.92775694278879	0.881227480726157	9.6340576527642	93.2961181918066	0.0670651957600757
SNP.6	3.76e-40	0.371166	754548	2.83908849764145e-06	13.2636766060607	0.999873834208809	83.4625038328747	1.1499e-06	0.371166	706	0.0030343180562583	4.8640806891266	0.881167061145986	9.35887120821517	92.8213750410898	0.0417175568006856
SNP.7	2.851e-40	0.37169	753034	2.84315521908465e-06	13.2844091372219	0.999873653511271	83.7383732737412	1.32581e-06	0.37169	706	0.00303256734737704	4.83584530813076	0.881227480726157	9.23865588619815	92.9770291599393	0.0487437110706347
SNP.8	1.228e-38	0.327902	747091	3.03682545501226e-06	12.9997150416187	0.999865048194225	80.029596235211	3.98895e-06	0.327902	706	0.00321357643910845	4.61195727343537	0.875024135723849	8.26612993992208	88.2957261751331	0.000451704624057702
