snp	SNP.PP.H4.abf
rs10212341	9.53298194623145e-07
rs11712278	0.281212268431563
rs11714608	6.5220441325434e-07
rs11714897	8.71131661330879e-07
rs11719656	0.0534457307734974
rs12054450	1.87755337892209e-07
rs13060115	2.26323639425806e-07
rs13075010	0.000708433443331158
rs13093662	1.38287193315828e-07
rs13097288	0.100990103918443
rs2029465	0.164403486653052
rs2172122	0.000240515917466862
rs35249078	2.26323639425806e-07
rs35998149	0.140966422385241
rs4681746	0.0844121700144421
rs57800049	5.78985569900076e-07
rs6445805	4.2373267862122e-07
rs66529035	0.100990103918443
rs9827472	0.0136414219070235
rs9881154	0.0589850845951695
