snp	pvalues.df1	MAF.df1	N.df1	V.df1	z.df1	r.df1	lABF.df1	pvalues.df2	MAF.df2	N.df2	V.df2	z.df2	r.df2	lABF.df2	internal.sum.lABF	SNP.PP.H4
SNP.1	2.185e-22	0.346535	732737	3.01336990068106e-06	9.73279733639805	0.999866090383046	42.8981568015582	1.624e-07	0.346535	318	0.00694342019155767	5.23791593417687	0.76417752603522	9.7605588815497	52.6587156831079	0.0181724807113086
SNP.10	1.272e-22	0.325	728701	3.12776060304882e-06	9.78766449258037	0.999861007739176	43.4519843412564	2.55393e-06	0.325	318	0.00716730276478704	4.70377635561281	0.758410704821669	7.67985451563377	51.1318388568902	0.00394729910731836
SNP.11	1.54e-22	0.330049	727121	3.10986728491446e-06	9.76830959789147	0.999861802777338	43.2599284477804	2.07436e-05	0.330049	318	0.00711084845935311	4.25673282590052	0.759856646150677	6.17095587059064	49.4308843183711	0.000720418515884954
SNP.12	1.236e-23	0.325123	729841	3.12226259552625e-06	10.0207193757803	0.999861252027204	45.759016519974	6.59227e-08	0.325123	318	0.00716589702824364	5.40194354375849	0.758446642573414	10.3557810377869	56.1147975577609	0.575932390157135
SNP.13	1.38e-19	0.317734	733147	3.14602031816244e-06	9.05386136112764	0.999860196422521	36.5428366862267	3.89852e-06	0.317734	318	0.00725313005723219	4.61672037514698	0.756222957272721	7.35335790664651	43.8961945928733	2.84380399190581e-06
SNP.14	1.66e-21	0.338308	727555	3.06998337045003e-06	9.52439877661415	0.999863574908992	40.9010307444966	1.52178e-05	0.338308	318	0.00702384198455273	4.3255119763562	0.762095936286758	6.41148411618373	47.3125148606804	8.66141205831208e-05
SNP.2	1.233e-22	0.325871	726806	3.13157470833077e-06	9.79081335461029	0.999860838270534	43.4834061589628	4.815e-06	0.325871	318	0.00715738140711652	4.57269098414242	0.758664417843746	7.22086446992108	50.7042706288839	0.00257400575947583
SNP.3	1.801e-22	0.344059	733562	3.02019843433529e-06	9.75243259356511	0.999865786974028	43.0905471123596	1.36703e-07	0.344059	318	0.00696698994933291	5.26962466555254	0.763566283447603	9.88067103757768	52.9712181499373	0.0248388973947111
SNP.4	7.657e-18	0.320197	732535	3.1357489760359e-06	8.60462001065451	0.999860652799191	32.5753132204862	1.59731e-06	0.320197	318	0.00722341470490711	4.79865959838104	0.756978975106969	8.00822446661	40.5835376870962	1.03569300936536e-07
SNP.5	2.073e-23	0.324257	728321	3.13311442504584e-06	9.96948544438014	0.99986076985773	45.2487097792741	6.29373e-08	0.324257	318	0.00717582714202456	5.41024865328432	0.758192851451722	10.3866446643929	55.635354443667	0.356575914653018
SNP.6	2.316e-19	0.319307	730797	3.14784634080383e-06	8.99717509969762	0.999860115288656	36.0315721298787	7.23868e-06	0.319307	318	0.00723407755446671	4.48654686671403	0.756707517116838	6.90917623287233	42.940748362751	1.09384209860038e-06
SNP.7	2.486e-21	0.339196	722568	3.087222243627e-06	9.48235829753824	0.999862808946473	40.5043236403383	6.09203e-06	0.339196	318	0.00701486793123607	4.52316989806205	0.762327653046615	7.07982473207834	47.5841483724166	0.000113646910915239
SNP.8	1.219e-21	0.332512	727813	3.09527621299179e-06	9.55642049577794	0.999862451090617	41.2105400073611	3.4234e-05	0.332512	318	0.00708422096354149	4.14330243401995	0.760540560717423	5.81339719733499	47.0239372046961	6.49024388459729e-05
SNP.9	1.762e-22	0.343284	732421	3.02815469087283e-06	9.75465427958997	0.999865433457664	43.1135119618605	2.35594e-07	0.343284	318	0.006974478260515	5.16880623500476	0.763372291143886	9.47670639508549	52.590218356946	0.0169693890154155
